provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;13;2;8;28013002_8_8;2009;1;1;25,0;V;15,0;V;14,0;V;14,0;V;14,0;V;15,0;V;14,0;V;10,0;V;8,0;V;9,0;V;14,0;V;10,0;V;13,0;V;15,0;V;14,0;V;14,0;V;16,0;V;27,0;V;35,0;V;37,0;V;35,0;V;23,0;V;21,0;V;15,0;V
28;13;2;10;28013002_10_49;2009;1;1;18,0;V;23,0;V;15,0;V;14,0;V;14,0;V;15,0;V;14,0;V;21,0;V;4,0;V;17,0;V;8,0;V;18,0;V;16,0;V;18,0;V;16,0;V;23,0;V;22,0;V;29,0;V;25,0;V;25,0;V;36,0;V;32,0;V;32,0;V;25,0;V
28;13;2;14;28013002_14_6;2009;1;1;10,0;V;18,0;V;17,0;V;19,0;V;16,0;V;12,0;V;10,0;V;11,0;V;11,0;V;11,0;V;9,0;V;17,0;V;18,0;V;21,0;V;24,0;V;26,0;V;24,0;V;11,0;V;1,0;V;1,0;V;1,0;V;2,0;V;1,0;V;3,0;V
28;133;2;7;28133002_7_8;2009;1;1;9,0;V;12,0;V;13,0;V;8,0;V;6,0;V;9,0;V;6,0;V;7,0;V;7,0;V;6,0;V;6,0;V;6,0;V;6,0;V;6,0;V;6,0;V;6,0;V;6,0;V;7,0;V;12,0;V;10,0;V;12,0;V;16,0;V;7,0;V;6,0;V
28;133;2;8;28133002_8_8;2009;1;1;25,0;V;29,0;V;27,0;V;20,0;V;13,0;V;20,0;V;14,0;V;14,0;V;10,0;V;8,0;V;8,0;V;10,0;V;8,0;V;10,0;V;6,0;V;7,0;V;11,0;V;15,0;V;24,0;V;21,0;V;23,0;V;19,0;V;10,0;V;10,0;V
28;133;2;10;28133002_10_49;2009;1;1;38,0;V;45,0;V;34,0;V;42,0;V;25,0;V;33,0;V;21,0;V;16,0;V;19,0;V;20,0;V;24,0;V;30,0;V;42,0;V;25,0;V;25,0;V;12,0;V;18,0;V;26,0;V;27,0;V;45,0;V;39,0;V;36,0;V;29,0;V;21,0;V
28;133;2;14;28133002_14_6;2009;1;1;16,0;V;16,0;V;13,0;V;18,0;V;21,0;V;14,0;V;16,0;V;16,0;V;18,0;V;19,0;V;22,0;V;22,0;V;29,0;V;31,0;V;40,0;V;41,0;V;34,0;V;28,0;V;19,0;V;22,0;V;16,0;V;15,0;V;23,0;V;22,0;V
28;14;2;7;28014002_7_8;2009;1;1;7,0;V;11,0;V;14,0;V;10,0;V;12,0;V;4,0;V;3,0;V;16,0;V;8,0;V;5,0;V;5,0;V;3,0;V;3,0;V;3,0;V;1,0;V;1,0;V;1,0;V;2,0;V;3,0;V;6,0;V;7,0;V;6,0;V;3,0;V;8,0;V
28;14;2;8;28014002_8_8;2009;1;1;39,0;V;42,0;V;40,0;V;37,0;V;37,0;V;26,0;V;27,0;V;32,0;V;27,0;V;28,0;V;25,0;V;18,0;V;16,0;V;14,0;V;7,0;V;5,0;V;8,0;V;27,0;V;35,0;V;39,0;V;41,0;V;42,0;V;40,0;V;41,0;V
28;14;2;10;28014002_10_49;2009;1;1;41,0;V;49,0;V;45,0;V;36,0;V;37,0;V;35,0;V;23,0;V;19,0;V;23,0;V;29,0;V;27,0;V;23,0;V;21,0;V;26,0;V;22,0;V;20,0;V;19,0;V;17,0;V;24,0;V;25,0;V;24,0;V;28,0;V;25,0;V;20,0;V
28;14;2;14;28014002_14_6;2009;1;1;3,0;V;2,0;V;2,0;V;2,0;V;2,0;V;8,0;V;4,0;V;2,0;V;3,0;V;10,0;V;12,0;V;18,0;V;24,0;V;29,0;V;36,0;V;44,0;V;43,0;V;27,0;V;12,0;V;6,0;V;6,0;V;4,0;V;6,0;V;2,0;V
28;148;4;7;28148004_7_8;2009;1;1;28,0;V;30,0;V;38,0;V;23,0;V;32,0;V;24,0;V;11,0;V;11,0;V;29,0;V;25,0;V;15,0;V;11,0;V;7,0;V;7,0;V;7,0;V;7,0;V;8,0;V;8,0;V;9,0;V;15,0;V;43,0;V;27,0;V;15,0;V;14,0;V
28;148;4;8;28148004_8_8;2009;1;1;46,0;V;45,0;V;44,0;V;37,0;V;38,0;V;35,0;V;30,0;V;31,0;V;30,0;V;29,0;V;26,0;V;21,0;V;11,0;V;13,0;V;13,0;V;23,0;V;32,0;V;32,0;V;37,0;V;42,0;V;47,0;V;43,0;V;43,0;V;39,0;V
28;148;4;9;28148004_9_49;2009;1;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;148;4;10;28148004_10_49;2009;1;1;83,0;V;64,0;V;51,0;V;56,0;V;49,0;V;45,0;V;31,0;V;29,0;V;21,0;V;29,0;V;28,0;V;38,0;V;19,0;V;14,0;V;26,0;V;25,0;V;43,0;V;40,0;V;31,0;V;37,0;V;43,0;V;48,0;V;48,0;V;33,0;V
28;148;4;14;28148004_14_6;2009;1;1;5,0;V;5,0;V;5,0;V;5,0;V;5,0;V;4,0;V;6,0;V;5,0;V;6,0;V;10,0;V;17,0;V;28,0;V;42,0;V;44,0;V;46,0;V;38,0;V;27,0;V;22,0;V;14,0;V;6,0;V;5,0;V;7,0;V;5,0;V;5,0;V
28;16;1;1;28016001_1_38;2009;1;1;3,0;V;2,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;4,0;V;3,0;V;3,0;V;1,0;V;3,0;V;3,0;V;3,0;V;4,0;V;3,0;V;3,0;V;2,0;V;3,0;V;2,0;V;4,0;V;4,0;V
28;16;1;6;28016001_6_48;2009;1;1;0,5;V;0,5;V;0,5;V;0,5;V;0,6;V;0,6;V;0,6;V;0,5;V;0,5;V;0,5;V;0,5;V;0,5;V;0,5;V;0,6;V;0,5;V;0,5;V;0,5;V;0,6;V;0,5;V;0,5;V;0,6;V;0,6;V;0,5;V;0,5;V
28;16;1;7;28016001_7_8;2009;1;1;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V
28;16;1;8;28016001_8_8;2009;1;1;5,0;V;7,0;V;7,0;V;7,0;V;7,0;V;6,0;V;7,0;V;5,0;V;5,0;V;5,0;V;5,0;V;5,0;V;5,0;V;5,0;V;7,0;V;7,0;V;8,0;V;12,0;V;12,0;V;13,0;V;12,0;V;11,0;V;10,0;V;8,0;V
28;16;1;9;28016001_9_49;2009;1;1;9,0;V;6,0;V;9,0;V;11,0;V;11,0;V;10,0;V;7,0;V;6,0;V;2,0;V;3,0;V;10,0;V;9,0;V;8,0;V;11,0;V;10,0;V;11,0;V;12,0;V;11,0;V;18,0;V;12,0;V;10,0;V;9,0;V;11,0;V;13,0;V
28;16;1;10;28016001_10_49;2009;1;1;17,0;V;18,0;V;18,0;V;25,0;V;32,0;V;23,0;V;24,0;V;30,0;V;16,0;V;22,0;V;19,0;V;27,0;V;21,0;V;24,0;V;30,0;V;28,0;V;28,0;V;27,0;V;26,0;V;21,0;V;28,0;V;28,0;V;27,0;V;24,0;V
28;16;1;14;28016001_14_6;2009;1;1;43,0;V;43,0;V;44,0;V;43,0;V;36,0;V;30,0;V;32,0;V;40,0;V;39,0;V;38,0;V;36,0;V;39,0;V;40,0;V;43,0;V;46,0;V;44,0;V;40,0;V;35,0;V;35,0;V;33,0;V;32,0;V;31,0;V;29,0;V;37,0;V
28;16;1;20;28016001_20_59;2009;1;1;0,7;V;0,7;V;0,8;V;0,8;V;0,8;V;0,8;V;1,0;V;0,9;V;0,7;V;0,7;V;0,8;V;0,7;V;0,7;V;0,7;V;0,9;V;0,8;V;0,9;V;0,9;V;1,1;V;1,2;V;1,1;V;1,0;V;1,1;V;1,0;V
28;16;1;30;28016001_30_59;2009;1;1;0,2;V;0,2;V;0,2;V;0,2;V;0,3;V;0,3;V;0,3;V;0,3;V;0,2;V;0,2;V;0,2;V;0,2;V;0,2;V;0,2;V;0,2;V;0,2;V;0,3;V;0,2;V;0,2;V;0,2;V;0,3;V;0,2;V;0,3;V;0,2;V
28;16;1;42;28016001_42_2;2009;1;1;6,8;V;6,8;V;6,9;V;6,8;V;6,9;V;6,9;V;6,9;V;6,8;V;6,9;V;6,8;V;6,8;V;6,8;V;6,8;V;6,8;V;6,9;V;6,9;V;7,0;V;7,0;V;7,0;V;7,0;V;7,0;V;7,0;V;7,0;V;6,9;V
28;16;1;44;28016001_44_2;2009;1;1;0,6;V;0,6;V;0,6;V;0,6;V;0,6;V;0,6;V;0,6;V;0,6;V;0,6;V;0,6;V;0,6;V;0,6;V;0,6;V;0,6;V;0,6;V;0,6;V;0,6;V;0,6;V;0,6;V;0,6;V;0,6;V;0,6;V;0,6;V;0,6;V
28;161;1;7;28161001_7_8;2009;1;1;16,0;V;30,0;V;10,0;V;8,0;V;7,0;V;8,0;V;9,0;V;9,0;V;8,0;V;9,0;V;8,0;V;8,0;V;7,0;V;7,0;V;7,0;V;7,0;V;6,0;V;7,0;V;16,0;V;30,0;V;49,0;V;26,0;V;46,0;V;31,0;V
28;161;1;8;28161001_8_8;2009;1;1;37,0;V;46,0;V;32,0;V;25,0;V;18,0;V;21,0;V;26,0;V;27,0;V;21,0;V;21,0;V;16,0;V;11,0;V;12,0;V;14,0;V;14,0;V;13,0;V;10,0;V;20,0;V;37,0;V;40,0;V;38,0;V;36,0;V;40,0;V;33,0;V
28;161;1;9;28161001_9_49;2009;1;1;27,0;V;40,0;V;19,0;V;14,0;V;19,0;V;8,0;V;18,0;V;17,0;V;16,0;V;21,0;V;12,0;V;12,0;V;19,0;V;13,0;V;11,0;V;16,0;V;10,0;V;13,0;V;19,0;V;16,0;V;17,0;V;35,0;V;30,0;V;21,0;V
28;161;1;14;28161001_14_6;2009;1;1;4,0;V;3,0;V;9,0;V;12,0;V;16,0;V;13,0;V;7,0;V;7,0;V;10,0;V;12,0;V;14,0;V;27,0;V;27,0;V;22,0;V;24,0;V;30,0;V;35,0;V;23,0;V;4,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V
28;171;1;1;28171001_1_38;2009;1;1;4,0;V;4,0;V;4,0;V;4,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;4,0;V;4,0;V;4,0;V;4,0;V;4,0;V;4,0;V;4,0;V;4,0;V;4,0;V;4,0;V;3,0;V;3,0;V;4,0;V;4,0;V;4,0;V
28;171;1;6;28171001_6_48;2009;1;1;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,2;V;0,2;V;0,3;V;0,3;V;0,3;V;0,3;V;0,3;V;0,4;V
28;171;1;7;28171001_7_8;2009;1;1;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;2,0;V;2,0;V;2,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;3,0;V;2,0;V;1,0;V
28;171;1;8;28171001_8_8;2009;1;1;14,0;V;12,0;V;11,0;V;12,0;V;10,0;V;10,0;V;9,0;V;11,0;V;8,0;V;8,0;V;15,0;V;17,0;V;14,0;V;11,0;V;8,0;V;5,0;V;6,0;V;5,0;V;5,0;V;5,0;V;5,0;V;8,0;V;5,0;V;6,0;V
28;171;1;9;28171001_9_49;2009;1;1;22,0;V;24,0;V;25,0;V;26,0;V;26,0;V;22,0;V;29,0;V;25,0;V;28,0;V;22,0;V;26,0;V;34,0;V;39,0;V;28,0;V;27,0;V;27,0;V;28,0;V;28,0;V;22,0;V;13,0;V;18,0;V;27,0;V;18,0;V;17,0;V
28;171;1;10;28171001_10_49;2009;1;1;31,0;V;32,0;V;33,0;V;39,0;V;30,0;V;32,0;V;36,0;V;28,0;V;32,0;V;35,0;V;34,0;V;36,0;V;42,0;V;36,0;V;39,0;V;35,0;V;34,0;V;22,0;V;29,0;V;33,0;V;26,0;V;28,0;V;33,0;V;27,0;V
28;171;1;14;28171001_14_6;2009;1;1;18,0;V;18,0;V;19,0;V;22,0;V;19,0;V;13,0;V;11,0;V;7,0;V;8,0;V;13,0;V;15,0;V;19,0;V;26,0;V;30,0;V;35,0;V;41,0;V;28,0;V;21,0;V;15,0;V;8,0;V;6,0;V;4,0;V;3,0;V;4,0;V
28;180;1;7;28180001_7_8;2009;1;1;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;1,0;V;2,0;V;1,0;V;12,0;V;38,0;V;18,0;V;1,0;V;1,0;V
28;180;1;8;28180001_8_8;2009;1;1;5,0;V;4,0;V;2,0;V;1,0;V;2,0;V;2,0;V;1,0;V;2,0;V;2,0;V;4,0;V;1,0;V;1,0;V;1,0;V;2,0;V;2,0;V;2,0;V;3,0;V;9,0;V;13,0;V;24,0;V;38,0;V;30,0;V;11,0;V;12,0;V
28;180;1;9;28180001_9_49;2009;1;1;34,0;V;27,0;V;25,0;V;19,0;V;12,0;V;12,0;V;9,0;V;13,0;V;20,0;V;19,0;V;25,0;N;34,0;N;15,0;V;23,0;V;21,0;V;28,0;V;20,0;V;20,0;V;17,0;V;20,0;V;20,0;V;24,0;V;24,0;V;23,0;V
28;180;1;14;28180001_14_6;2009;1;1;34,0;V;32,0;V;33,0;V;35,0;V;30,0;V;25,0;V;24,0;V;18,0;V;20,0;V;30,0;V;38,0;V;37,0;V;35,0;V;36,0;V;35,0;V;32,0;V;33,0;V;23,0;V;16,0;V;10,0;V;5,0;V;9,0;V;18,0;V;18,0;V
28;45;2;6;28045002_6_48;2009;1;1;1,6;V;1,0;V;0,7;V;0,6;V;0,6;V;0,5;V;0,6;V;0,6;V;0,5;V;0,6;V;0,6;V;0,6;V;0,5;V;0,5;V;0,6;V;0,6;V;0,6;V;0,7;V;0,8;V;1,2;V;0,9;V;1,1;V;0,8;V;0,7;V
28;45;2;7;28045002_7_8;2009;1;1;121,0;V;29,0;V;6,0;V;3,0;V;10,0;V;3,0;V;4,0;V;4,0;V;10,0;V;5,0;V;6,0;V;4,0;V;2,0;V;4,0;V;5,0;V;3,0;V;6,0;V;5,0;V;11,0;V;53,0;V;21,0;V;54,0;V;10,0;V;8,0;V
28;45;2;8;28045002_8_8;2009;1;1;112,0;V;73,0;V;43,0;V;42,0;V;40,0;V;23,0;V;27,0;V;29,0;V;36,0;V;29,0;V;27,0;V;19,0;V;15,0;V;16,0;V;23,0;V;26,0;V;31,0;V;36,0;V;46,0;V;73,0;V;59,0;V;75,0;V;53,0;V;42,0;V
28;45;2;10;28045002_10_49;2009;1;1;55,0;V;353,0;V;30,0;V;30,0;V;19,0;V;13,0;V;13,0;V;10,0;V;8,0;V;20,0;V;13,0;V;21,0;V;19,0;V;21,0;V;7,0;V;22,0;V;19,0;V;20,0;V;19,0;V;18,0;V;28,0;V;16,0;V;34,0;V;22,0;V
28;45;2;14;28045002_14_6;2009;1;1;7,0;V;14,0;V;26,0;V;23,0;V;23,0;V;34,0;V;29,0;V;27,0;V;20,0;V;23,0;V;31,0;V;39,0;V;47,0;V;46,0;V;42,0;V;37,0;V;33,0;V;31,0;V;21,0;V;10,0;V;7,0;V;6,0;V;10,0;V;8,0;V
28;47;2;1;28047002_1_38;2009;1;1;6,0;V;7,0;V;5,0;V;5,0;V;4,0;V;4,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;2,0;V;2,0;V;3,0;V;2,0;V;4,0;V;5,0;V;5,0;V;7,0;V;6,0;V;4,0;V
28;47;2;7;28047002_7_8;2009;1;1;65,0;V;90,0;V;56,0;V;45,0;V;40,0;V;34,0;V;17,0;V;12,0;V;13,0;V;32,0;V;16,0;V;2,0;V;2,0;V;3,0;V;2,0;V;2,0;V;2,0;V;2,0;V;29,0;V;57,0;V;62,0;V;91,0;V;80,0;V;22,0;V
28;47;2;8;28047002_8_8;2009;1;1;45,0;V;54,0;V;43,0;V;34,0;V;28,0;V;25,0;V;25,0;V;30,0;V;24,0;V;30,0;V;23,0;V;2,0;V;4,0;V;5,0;V;3,0;V;2,0;V;6,0;V;9,0;V;41,0;V;53,0;V;50,0;V;61,0;V;57,0;V;37,0;V
28;47;2;9;28047002_9_49;2009;1;1;59,0;V;55,0;V;47,0;V;50,0;V;46,0;V;45,0;V;34,0;V;20,0;V;16,0;V;22,0;V;22,0;V;19,0;V;17,0;V;16,0;V;19,0;V;21,0;V;18,0;V;18,0;V;19,0;V;24,0;V;32,0;V;34,0;V;34,0;V;30,0;V
28;47;2;14;28047002_14_6;2009;1;1;3,0;V;3,0;V;2,0;V;3,0;V;3,0;V;2,0;V;3,0;V;6,0;V;7,0;V;6,0;V;14,0;V;41,0;V;40,0;V;38,0;V;38,0;V;39,0;V;34,0;V;26,0;V;8,0;V;3,0;V;4,0;V;3,0;V;3,0;V;3,0;V
28;47;2;20;28047002_20_59;2009;1;1;5,0;V;5,9;V;5,6;V;4,6;V;5,0;V;6,3;V;4,1;V;3,3;V;3,2;V;3,4;V;3,7;V;3,2;V;1,2;V;1,6;V;1,5;V;1,5;V;1,1;V;1,8;V;4,0;V;4,7;V;5,2;V;5,6;V;8,2;V;4,9;V
28;47;2;30;28047002_30_59;2009;1;1;2,8;V;3,0;V;2,9;V;2,7;V;2,8;V;2,8;V;2,2;V;1,6;V;1,5;V;1,6;V;1,8;V;1,4;V;0,8;V;1,0;V;1,0;V;1,1;V;0,8;V;1,0;V;1,7;V;2,4;V;2,8;V;2,8;V;3,0;V;2,5;V
28;47;2;42;28047002_42_2;2009;1;1;8,9;V;8,7;V;7,6;V;8,0;V;7,8;V;7,6;V;7,5;V;6,7;V;7,1;V;7,1;V;7,0;V;6,2;V;6,2;V;6,2;V;6,2;V;6,2;V;6,2;V;6,2;V;6,4;V;6,9;V;6,8;V;6,9;V;7,0;V;6,7;V
28;47;2;44;28047002_44_2;2009;1;1;0,9;V;1,0;V;0,8;V;0,8;V;1,1;V;0,7;V;0,6;V;0,5;V;0,6;V;0,6;V;0,6;V;0,4;V;0,4;V;0,4;V;0,4;V;0,4;V;0,4;V;0,4;V;0,5;V;0,8;V;0,8;V;0,8;V;0,8;V;0,6;V
28;49;3;7;28049003_7_8;2009;1;1;73,0;V;61,0;V;38,0;V;22,0;V;23,0;V;28,0;V;33,0;V;30,0;V;33,0;V;26,0;V;12,0;V;14,0;V;8,0;V;10,0;V;5,0;V;3,0;V;5,0;V;3,0;V;17,0;V;189,0;V;200,0;V;144,0;V;34,0;V;35,0;V
28;49;3;8;28049003_8_8;2009;1;1;66,0;V;64,0;V;48,0;V;40,0;V;42,0;V;43,0;V;41,0;V;38,0;V;39,0;V;38,0;V;30,0;V;30,0;V;27,0;V;27,0;V;24,0;V;29,0;V;42,0;V;38,0;V;48,0;V;98,0;V;95,0;V;91,0;V;59,0;V;54,0;V
28;49;3;10;28049003_10_49;2009;1;1;52,0;V;61,0;V;55,0;V;82,0;V;62,0;V;44,0;V;41,0;V;44,0;V;53,0;V;47,0;V;33,0;V;28,0;V;32,0;V;31,0;V;31,0;V;32,0;V;39,0;V;43,0;V;40,0;V;47,0;V;74,0;V;88,0;V;71,0;V;49,0;V
28;49;3;14;28049003_14_6;2009;1;1;5,0;V;4,0;V;4,0;V;4,0;V;4,0;V;4,0;V;4,0;V;4,0;V;5,0;V;7,0;V;12,0;V;17,0;V;26,0;V;30,0;V;35,0;V;32,0;V;20,0;V;20,0;V;12,0;V;5,0;V;5,0;V;5,0;V;4,0;V;4,0;V
28;5;2;1;28005002_1_38;2009;1;1;8,0;V;6,0;V;5,0;V;5,0;V;4,0;V;4,0;V;4,0;V;5,0;V;5,0;V;5,0;V;6,0;V;6,0;V;7,0;V;7,0;V;7,0;V;5,0;V;5,0;V;4,0;V;4,0;V;4,0;V;4,0;V;4,0;V;6,0;V;6,0;V
28;5;2;6;28005002_6_48;2009;1;1;1,4;V;1,2;V;1,1;V;1,0;V;1,1;V;1,0;V;0,9;V;0,9;V;1,0;V;1,0;V;0,9;V;0,9;V;0,9;V;1,0;V;1,0;V;0,9;V;1,0;V;1,0;V;1,1;V;1,3;V;1,2;V;1,1;V;1,3;V;1,3;V
28;5;2;7;28005002_7_8;2009;1;1;88,0;V;61,0;V;38,0;V;29,0;V;23,0;V;24,0;V;16,0;V;21,0;V;28,0;V;25,0;V;12,0;V;10,0;V;12,0;V;8,0;V;7,0;V;6,0;V;8,0;V;7,0;V;10,0;V;27,0;V;19,0;V;27,0;V;46,0;V;65,0;V
28;5;2;8;28005002_8_8;2009;1;1;62,0;V;52,0;V;39,0;V;34,0;V;33,0;V;31,0;V;28,0;V;29,0;V;30,0;V;30,0;V;21,0;V;21,0;V;23,0;V;14,0;V;12,0;V;13,0;V;26,0;V;31,0;V;36,0;V;51,0;V;45,0;V;48,0;V;51,0;V;54,0;V
28;5;2;10;28005002_10_49;2009;1;1;75,0;V;84,0;V;68,0;V;40,0;V;35,0;V;37,0;V;33,0;V;24,0;V;25,0;V;31,0;V;32,0;V;28,0;V;23,0;V;29,0;V;21,0;V;22,0;V;30,0;V;33,0;V;30,0;V;34,0;V;44,0;V;34,0;V;45,0;V;54,0;V
28;5;2;14;28005002_14_6;2009;1;1;3,0;V;3,0;V;3,0;V;3,0;V;3,0;V;2,0;V;3,0;V;3,0;V;3,0;V;6,0;V;14,0;V;21,0;V;25,0;V;33,0;V;40,0;V;41,0;V;28,0;V;19,0;V;10,0;V;3,0;V;4,0;V;3,0;V;2,0;V;2,0;V
28;58;4;7;28058004_7_8;2009;1;1;23,0;V;23,0;V;11,0;V;11,0;V;6,0;V;6,0;V;6,0;V;8,0;V;4,0;V;7,0;V;3,0;V;4,0;V;3,0;V;3,0;V;3,0;V;1,0;V;3,0;V;3,0;V;34,0;V;35,0;V;48,0;V;33,0;V;37,0;V;18,0;V
28;58;4;8;28058004_8_8;2009;1;1;60,0;V;59,0;V;48,0;V;54,0;V;41,0;V;37,0;V;38,0;V;33,0;V;31,0;V;26,0;V;11,0;V;9,0;V;9,0;V;13,0;V;15,0;V;10,0;V;17,0;V;21,0;V;63,0;V;70,0;V;69,0;V;67,0;V;60,0;V;53,0;V
28;58;4;10;28058004_10_49;2009;1;1;67,0;V;58,0;V;42,0;V;39,0;V;48,0;V;37,0;V;36,0;V;28,0;V;23,0;V;26,0;V;29,0;V;32,0;V;30,0;V;24,0;V;27,0;V;25,0;V;29,0;V;24,0;V;26,0;V;37,0;V;38,0;V;36,0;V;49,0;V;42,0;V
28;58;4;14;28058004_14_6;2009;1;1;1,0;V;1,0;V;3,0;V;1,0;V;3,0;V;3,0;V;2,0;V;4,0;V;4,0;V;7,0;V;19,0;V;23,0;V;24,0;V;24,0;V;23,0;V;29,0;V;27,0;V;25,0;V;3,0;V;1,0;V;1,0;V;1,0;V;1,0;V;3,0;V
28;58;4;20;28058004_20_59;2009;1;1;3,2;V;4,3;V;3,4;V;3,0;V;2,9;V;3,2;V;3,0;V;3,5;V;2,5;V;2,7;V;2,3;V;1,0;V;1,3;V;1,4;V;1,5;V;0,8;V;0,7;V;0,9;V;4,1;V;5,6;V;4,7;V;5,4;V;6,2;V;4,5;V
